4GTV頻道,#genre#

AMC 電影台,https://1234.koyeb.app/litv/4gtv-4gtv017
Arirang TV,https://1234.koyeb.app/litv/4gtv-4gtv079
CatchPlay 電影台,https://1234.koyeb.app/litv/4gtv-4gtv076
Classica 古典樂,https://1234.koyeb.app/litv/4gtv-4gtv059
ELTA 娛樂台,https://1234.koyeb.app/litv/4gtv-4gtv070
ELTV 生活英語,https://1234.koyeb.app/litv/litv-longturn20
GINX Esports TV,https://1234.koyeb.app/litv/4gtv-4gtv053
i-Fun 動漫台,https://1234.koyeb.app/litv/litv-ftv15
Mezzo Live,https://1234.koyeb.app/litv/4gtv-4gtv083
MTV Live HD 音樂頻道,https://1234.koyeb.app/4gtv/213
My Cinema Europe HD 我的歐洲電影,https://1234.koyeb.app/4gtv/176
Nick Jr. 兒童頻道,https://1234.koyeb.app/4gtv/219
Smart 知識台,https://1234.koyeb.app/litv/litv-longturn19
Trace Urban,https://1234.koyeb.app/litv/4gtv-4gtv082
TraceSports,https://1234.koyeb.app/litv/4gtv-4gtv077
TVBS 新聞台,https://1234.koyeb.app/litv/4gtv-4gtv072
TVBS 精采台,https://1234.koyeb.app/litv/4gtv-4gtv067
TVBS 歡樂台,https://1234.koyeb.app/litv/4gtv-4gtv068
TVBS,https://1234.koyeb.app/litv/4gtv-4gtv073
VOA 美國之音,https://1234.koyeb.app/litv/litv-ftv03
八大精彩台,https://1234.koyeb.app/litv/4gtv-4gtv034
八大綜藝台,https://1234.koyeb.app/litv/4gtv-4gtv039
中天亞洲台,https://1234.koyeb.app/litv/4gtv-4gtv109
中天新聞台,https://1234.koyeb.app/litv/4gtv-4gtv009
中視,https://1234.koyeb.app/litv/4gtv-4gtv040
中視菁采台,https://1234.koyeb.app/litv/4gtv-4gtv064
中視新聞台,https://1234.koyeb.app/litv/4gtv-4gtv074
中視經典台,https://1234.koyeb.app/litv/4gtv-4gtv080
公視戲劇台,https://1234.koyeb.app/litv/4gtv-4gtv042
