litv频道,#genre# 

ARIRANG阿里郎頻道,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv079	
CLASSICA 古典樂,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv059	
ELTV生活英語台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn20	
GINX Esports TV,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv053	
Mezzo Live HD,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv083	
Smart知識台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn19	
TRACE Sport Stars,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv077	
TRACE Urban,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv082	
TVBS,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv073	
TVBS新聞,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv072	
TVBS精采台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv067	
TVBS歡樂台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv068	
VOA美國之音,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-ftv03	
八大精彩台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv034	
八大綜藝台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv039	
三立新聞iNEWS,http://xg.52sw.top/play/4gtv/dxlitv.php?id=iNEWS	
中天亞洲台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv109	
中天新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv009	
中視,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv040	
中視菁采台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv064	
中視新聞,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv074	
中視經典台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv080	
公視戲劇,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv042	
半島國際新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-ftv10	
台視,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv066	
台視財經,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv056	
台視新聞,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv051	
台灣戲劇台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn22	
民視,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv155	
民視台灣台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv001	
民視旅遊台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-ftv07	
民視第一台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv003	
民視新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-ftv13	
民視綜藝台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv004	
民視影劇台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-ftv09	
好消息,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-ftv16	
好消息2台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-ftv17	
亞洲旅遊台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv076	
東森財經新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv153	
東森新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv152	
東森購物1台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv102	
東森購物2台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv103	
采昌影劇台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv049	
非凡商業台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv048	
非凡新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv010	
客家電視台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv043	
時尚運動X,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv014	
國會頻道1台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv084	
國會頻道2台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv085	
第1商業台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv104	
博斯高球二台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn06	
博斯高球台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn05	
博斯無限二台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn13	
博斯無限台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn10	
博斯運動一台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn07	
博斯運動二台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn08	
博斯網球台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn09	
博斯魅力台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn04	
智林體育台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv101	
華視,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv041	
華視新聞,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv052	
視納華仁紀實頻道,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv013	
愛爾達娛樂台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv070	
達文西頻道,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv018	
靖天日本台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv047	
靖天卡通台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv044	
靖天育樂台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv062	
